what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1423713149376
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1423713151161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1423713151859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1423713231472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423713233994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423713251069
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1423713254266
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1423713262235
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1423713262388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423713264953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423713271822
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1423713271876
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423713274128
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423713274333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1423713280264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423713285079
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423713447485
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1423713449610
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1423713449859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1423713457260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423713460798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423714845134
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1423714864385
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423714872007
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423714872185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423714881863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423714946385
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1423714950370
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1423714952068
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1423714952166
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1423714953286
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1423714953762
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1423714953831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423714955949
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423714958841
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1423714958894
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1423714959220
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1423714959286
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1423714961968
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1423714962209
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1423714966624
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1423714966839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1423714969832
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1423714970570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423714973037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423714985618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423714987143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423715066357
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1423715069469
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1423715071419
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1423715071588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423715077800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423715285397
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1423715287327
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1423715287525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1423715289919
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1423715290374
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423715292739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423715522210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423715525098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423792849065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423792854457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423792859798
started,bundle,org.eclipse.wst.jsdt.debug.core,2.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.core",1423792863295
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1423792880659
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1423792894432
