what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413765316511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413765316533
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1413765316877
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1413765318388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413765322698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413765328065
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1413765328109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413765333582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413765339098
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1413765342367
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1413765342445
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1413765349827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413765355085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413765361144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413765369063
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413765371234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413765372958
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1413765375354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413765386301
