what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_IN",1418407228309
processors,sysinfo,,,"4",1418407228309
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1418407228309
java.runtime.version,sysinfo,,,"1.8.0_20-b26",1418407228309
java.specification.name,sysinfo,,,"Java Platform API Specification",1418407228309
java.specification.vendor,sysinfo,,,"Oracle Corporation",1418407228309
java.specification.version,sysinfo,,,"1.8",1418407228309
java.vendor,sysinfo,,,"Oracle Corporation",1418407228309
java.version,sysinfo,,,"1.8.0_20",1418407228309
java.vm.info,sysinfo,,,"mixed mode",1418407228309
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1418407228309
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1418407228309
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1418407228309
java.vm.specification.version,sysinfo,,,"1.8",1418407228309
java.vm.vendor,sysinfo,,,"Oracle Corporation",1418407228309
java.vm.version,sysinfo,,,"25.20-b23",1418407228309
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1418407229388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418407230184
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1418407230675
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1418407230945
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1418407230949
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1418407231204
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1418407231587
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1418407231591
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1418407232031
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1418407232898
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1418407233057
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1418407233320
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1418407234020
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1418407235154
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1418407236088
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1418407236171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418408074040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418408082379
