what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413779574623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413779577068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413779611668
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1413779616382
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1413779624589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413779649656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413779664493
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413779671685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413779675220
error,log,,,"D:\\Java\\J2EE\\Servlets\\Apps\\vigneshData\\WebContent\\WEB-INF\\lib\\mysql-connector.jar",1413779675778
error,log,,,"D:\\Java\\J2EE\\Servlets\\Apps\\vigneshData\\WebContent\\WEB-INF\\lib\\mysql-connector.jar",1413779675795
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1413779677248
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1413779682441
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413779703197
activated,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1413779705509
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413779707880
closed,editor,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.editor",1413779707881
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1413779709977
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413779714817
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413779714946
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413779730892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413779739213
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413779743261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413779743638
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1413779747445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413779753396
error,log,,,"D:\\Java\\J2EE\\Servlets\\Apps\\vigneshData\\WebContent\\WEB-INF\\lib\\mysql-connector.jar",1413816354365
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413816744945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817747756
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413817752139
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1413817769512
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413817772228
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1413817772230
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413817772274
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413817772318
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413817772419
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1413817772465
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817777436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817798248
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.ui",1413817809103
started,bundle,org.eclipse.wst.web.ui,1.1.500.v201111030500,"org.eclipse.wst.web.ui",1413817809118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817810223
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.200.v201008182133,"org.eclipse.jst.common.project.facet.ui",1413817810395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817824123
error,log,,,"D:\\Java\\J2EE\\Servlets\\Apps\\vigneshData\\WebContent\\WEB-INF\\lib\\mysql-connector.jar",1413817825132
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1413817825260
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1413817825444
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1413817826746
error,log,,,"D:\\Java\\J2EE\\Servlets\\Apps\\vigneshData\\WebContent\\WEB-INF\\lib\\mysql-connector.jar",1413817826923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817829400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817831632
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.file.newQuickMenu",1413817838805
started,bundle,org.eclipse.jst.j2ee.jca.ui,1.1.400.v201004150700,"org.eclipse.jst.j2ee.jca.ui",1413817840058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817840245
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1413817858107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817861062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817868259
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413817869550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817880220
error,log,,,"D:\\Java\\J2EE\\Servlets\\Apps\\vigneshData\\WebContent\\WEB-INF\\lib\\mysql-connector.jar",1413817880417
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413817880809
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1413817880875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413817885339
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1413817886394
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1413817886503
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1413817886514
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1413817886527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1413817886749
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817889089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817894329
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1413817895779
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1413817903505
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1413817904807
error,log,,,"D:\\Java\\J2EE\\Servlets\\Apps\\vigneshData\\WebContent\\WEB-INF\\lib\\mysql-connector.jar",1413817905171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817914709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817914851
error,log,,,"D:\\Java\\J2EE\\Servlets\\Apps\\vigneshData\\WebContent\\WEB-INF\\lib\\mysql-connector.jar",1413817915437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817942160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817942294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817945883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817945985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817949547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817949680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817952475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413817952613
